                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1694,                 2.6041,                 1.3929,                0.38764,                 0.2123,                0.16093,                0.09925,                0.64918,                 5.4306,                0.75138,             0.00041585,             0.00041585,             0.00041585
                      2,                 1.2868,                 2.7596,                 1.4883,                 0.6262,                0.19919,                0.14087,                0.08874,                0.66706,                 14.309,                0.75953,             0.00083171,             0.00083171,             0.00083171
                      3,                 1.3663,                 2.8966,                 1.5416,                0.41983,                0.16132,                0.11078,                0.06295,                0.78351,                 7.4179,                0.84374,              0.0012443,              0.0012443,              0.0012443
                      4,                  1.398,                 2.8098,                 1.5733,                0.45553,                0.18935,                0.14344,                0.08868,                0.76647,                 3.7415,                0.86294,               0.001239,               0.001239,               0.001239
                      5,                 1.3378,                 2.8601,                 1.5261,                0.65545,                0.19086,                0.15261,                0.09495,                0.69079,                 9.3001,                0.78231,              0.0012306,              0.0012306,              0.0012306
                      6,                 1.3883,                 2.8411,                 1.5601,                0.64739,                0.17823,                0.12817,                0.07251,                0.70337,                  9.378,                0.79755,              0.0012197,              0.0012197,              0.0012197
                      7,                 1.3433,                 2.7719,                 1.5122,                0.51671,                0.22198,                0.18905,                0.12095,                0.67326,                 9.2636,                0.76007,              0.0012065,              0.0012065,              0.0012065
                      8,                  1.318,                 2.8379,                 1.4865,                0.49485,                0.20248,                0.16802,                0.10536,                 0.7227,                  4.104,                0.80274,              0.0011911,              0.0011911,              0.0011911
                      9,                 1.3105,                 2.6606,                 1.4999,                0.39948,                0.22584,                0.17635,                 0.1111,                0.66551,                 11.074,                0.74988,              0.0011735,              0.0011735,              0.0011735
                     10,                 1.2885,                 2.5164,                 1.4747,                0.48745,                0.27147,                0.20326,                0.13017,                0.66256,                 6.4573,                0.75079,              0.0011537,              0.0011537,              0.0011537
