                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.166,                 12.528,                 1.2678,                0.79808,                0.05618,                0.03955,                0.01999,                0.65158,                 3.8251,                0.68158,             0.00041626,             0.00041626,             0.00041626
                      2,                 1.4375,                 6.0358,                 1.4848,                0.58484,                 0.1562,                0.05023,                0.02311,                0.69144,                 3.3064,                0.73428,             0.00077795,             0.00077795,             0.00077795
                      3,                 1.4436,                 3.8658,                 1.5078,                 0.0345,                0.21602,                0.04325,                0.01958,                0.80327,                  1.794,                0.79167,              0.0010846,              0.0010846,              0.0010846
                      4,                 1.4169,                 3.4595,                 1.4802,                 0.0213,                0.42921,                0.05431,                0.02864,                0.67632,                 1.9077,                0.70811,              0.0010025,              0.0010025,              0.0010025
                      5,                 1.3667,                 3.2493,                 1.4554,                0.02527,                0.49055,                0.06786,                0.03849,                0.63994,                 1.8992,                 0.6857,                0.00092,                0.00092,                0.00092
                      6,                0.94571,                 2.3106,                 1.0282,                0.01412,                0.65027,                0.06529,                0.03503,                0.64519,                 2.1351,                0.69255,              0.0008375,              0.0008375,              0.0008375
                      7,                 0.8755,                  2.208,                0.97853,                0.01693,                0.69836,                0.07599,                0.04144,                0.62299,                 1.9262,                0.69544,               0.000755,               0.000755,               0.000755
                      8,                 0.8757,                  2.161,                  0.991,                0.01968,                0.65149,                0.07896,                0.04636,                0.59426,                 1.8982,                0.67035,              0.0006725,              0.0006725,              0.0006725
                      9,                0.84784,                 2.1275,                0.96845,                0.33106,                0.31766,                 0.0944,                0.05709,                 0.5537,                 1.9747,                0.62536,                0.00059,                0.00059,                0.00059
                     10,                0.80044,                 2.0204,                0.91382,                0.56726,                0.23955,                0.10701,                0.06901,                0.57349,                 1.8865,                0.61648,              0.0005075,              0.0005075,              0.0005075
                     11,                 0.7921,                 2.0054,                0.91095,                0.03385,                 0.6707,                0.12387,                0.07707,                0.54617,                 1.7982,                0.62037,               0.000425,               0.000425,               0.000425
                     12,                  0.754,                 1.8998,                0.88508,                0.03674,                0.64904,                0.13168,                0.08411,                0.54661,                 1.6786,                0.62469,              0.0003425,              0.0003425,              0.0003425
                     13,                0.74939,                 1.8782,                 0.8981,                0.69147,                0.16968,                0.16557,                0.10684,                0.54282,                 1.7187,                0.62858,                0.00026,                0.00026,                0.00026
                     14,                0.72984,                  1.868,                0.87249,                0.71467,                0.15495,                0.17156,                0.11162,                0.52232,                 1.8035,                0.59745,              0.0001775,              0.0001775,              0.0001775
                     15,                 0.6805,                 1.7424,                0.82771,                0.71402,                0.14744,                0.17857,                0.11838,                0.51206,                 1.8924,                0.58634,                9.5e-05,                9.5e-05,                9.5e-05
